billNo,date,time,billType,status,customerName,productName,quantity,unit,rate,lineTotal,lineProfit,gstRate,discount,grandTotal,paidAmount,udharAmount,grossProfit,paymentModes
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,5 Star 25g,1,piece,10,10,1.5,18,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,Toor Dal (loose),0.25,kg,161.66,40.42,10.92,0,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,Lemon,1,piece,5.14,5.14,1.94,0,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,Saffola Gold Oil 1L,4,piece,203.57,814.28,154.28,5,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,Parachute Coconut Oil 200ml,1,piece,104.47,104.47,22.47,18,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Close Up Red 150g,2,piece,95.79,191.58,35.58,18,0,1058.72,1058,0,196,cash:1058
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Britannia Brown Bread,2,piece,52.9,105.8,21.8,0,0,1058.72,1058,0,196,cash:1058
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Wheat Atta (loose),0.25,kg,42,10.5,2.5,0,0,1058.72,1058,0,196,cash:1058
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Surf Excel Easy Wash 1kg,1,piece,143.99,143.99,25.99,18,0,1058.72,1058,0,196,cash:1058
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Lifebuoy Soap 125g,2,piece,35.94,71.88,15.88,18,0,1058.72,1058,0,196,cash:1058
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Everest Turmeric 200g,1,piece,79.8,79.8,17.8,5,0,1058.72,1058,0,196,cash:1058
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Dettol Antiseptic 250ml,1,piece,160.07,160.07,28.07,18,0,1058.72,1058,0,196,cash:1058
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Amul Butter 100g,2,piece,63.31,126.62,18.62,12,0,1058.72,1058,0,196,cash:1058
KOS-2026-005798,2026-06-29,20:51,normal_sale,active,Walk-in,Fortune Sunflower Oil 1L,1,piece,168.48,168.48,30.48,5,0,1058.72,1058,0,196,cash:1058
KOS-2026-005797,2026-06-29,20:48,normal_sale,active,Smita Khan,Amul Masti Dahi 400g,1,piece,40,40,8,5,0,248.6,248.6,0,49.1,bank:248.6
KOS-2026-005797,2026-06-29,20:48,normal_sale,active,Smita Khan,Red Label Tea 250g,1,piece,157.13,157.13,29.13,5,0,248.6,248.6,0,49.1,bank:248.6
KOS-2026-005797,2026-06-29,20:48,normal_sale,active,Smita Khan,Lays Classic Salted 52g,1,piece,22.47,22.47,5.97,12,0,248.6,248.6,0,49.1,bank:248.6
KOS-2026-005797,2026-06-29,20:48,normal_sale,active,Smita Khan,Sona Masoori Rice (loose),0.5,kg,58,29,6,0,0,248.6,248.6,0,49.1,bank:248.6
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Wheat Atta (loose),0.25,kg,42,10.5,2.5,0,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Potato,0.25,kg,26,6.5,2,0,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Toor Dal (loose),1,kg,161.66,161.66,43.66,0,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Thums Up 750ml,1,piece,41.23,41.23,9.23,28,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,AA Battery (2 pc),2,piece,36,72,16,18,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Kurkure Masala Munch 70g,1,piece,20,20,3.5,12,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Onion,0.25,kg,36.44,9.11,3.11,0,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Parachute Coconut Oil 200ml,1,piece,104.47,104.47,22.47,18,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Sprite 750ml,1,piece,40,40,8,28,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Lemon,1,piece,5.14,5.14,1.94,0,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005796,2026-06-29,20:36,normal_sale,active,Hotel Green Leaf,Good Knight Refill 45ml,1,piece,91.97,91.97,19.97,18,0,562.58,562.58,0,132.38,upi:562.58
KOS-2026-005795,2026-06-29,20:11,normal_sale,active,Joseph Sharma,Wheat Atta (loose),1,kg,42,42,10,0,0,234.14,234,0,49.5,cash:234
KOS-2026-005795,2026-06-29,20:11,normal_sale,active,Joseph Sharma,Frooti 200ml,1,piece,10.49,10.49,1.99,12,0,234.14,234,0,49.5,cash:234
KOS-2026-005795,2026-06-29,20:11,normal_sale,active,Joseph Sharma,Ariel Detergent 1kg,1,piece,163.43,163.43,31.43,18,0,234.14,234,0,49.5,cash:234
KOS-2026-005795,2026-06-29,20:11,normal_sale,active,Joseph Sharma,Onion,0.5,kg,36.44,18.22,6.22,0,0,234.14,234,0,49.5,cash:234
KOS-2026-005794,2026-06-29,18:30,normal_sale,active,Gurpreet Bhosale,Vim Dishwash Bar 200g,1,piece,21.09,21.09,5.09,18,0,1073.72,1073.72,0,229.72,cash:1073.72
KOS-2026-005794,2026-06-29,18:30,normal_sale,active,Gurpreet Bhosale,Horlicks 500g,3,piece,314.21,942.63,207.63,18,0,1073.72,1073.72,0,229.72,cash:1073.72
KOS-2026-005794,2026-06-29,18:30,normal_sale,active,Gurpreet Bhosale,Yippee Noodles 70g,1,piece,14,14,3,12,0,1073.72,1073.72,0,229.72,cash:1073.72
KOS-2026-005794,2026-06-29,18:30,normal_sale,active,Gurpreet Bhosale,Amul Taaza Milk 500ml,2,piece,28,56,6,0,0,1073.72,1073.72,0,229.72,cash:1073.72
KOS-2026-005794,2026-06-29,18:30,normal_sale,active,Gurpreet Bhosale,Sprite 750ml,1,piece,40,40,8,28,0,1073.72,1073.72,0,229.72,cash:1073.72
KOS-2026-005793,2026-06-29,17:48,normal_sale,active,Rohit Salunkhe,Match Box,1,piece,2.08,2.08,0.98,18,0,2.08,2.08,0,0.98,cash:2.08
KOS-2026-005792,2026-06-29,17:41,normal_sale,active,Walk-in,Colgate Strong Teeth 200g,1,piece,113.64,113.64,21.64,18,28.41,303.55,303.55,0,35.55,cash:303.55
KOS-2026-005792,2026-06-29,17:41,normal_sale,active,Walk-in,Maggi Noodles 8-pack,1,piece,112.52,112.52,20.52,12,28.41,303.55,303.55,0,35.55,cash:303.55
KOS-2026-005792,2026-06-29,17:41,normal_sale,active,Walk-in,Britannia Brown Bread,2,piece,52.9,105.8,21.8,0,28.41,303.55,303.55,0,35.55,cash:303.55
KOS-2026-005791,2026-06-29,16:21,normal_sale,active,Walk-in,Saffola Gold Oil 1L,1,piece,203.57,203.57,38.57,5,30.84,341.21,341.21,0,38.21,upi:341.21
KOS-2026-005791,2026-06-29,16:21,normal_sale,active,Walk-in,Fortune Sunflower Oil 1L,1,piece,168.48,168.48,30.48,5,30.84,341.21,341.21,0,38.21,upi:341.21
KOS-2026-005789,2026-06-29,12:56,normal_sale,active,Farida Shaikh,Onion,5,kg,36.44,182.2,62.2,0,0,323.64,323.64,0,93.14,upi:323.64
KOS-2026-005789,2026-06-29,12:56,normal_sale,active,Farida Shaikh,Sona Masoori Rice (loose),1,kg,58,58,12,0,0,323.64,323.64,0,93.14,upi:323.64
KOS-2026-005789,2026-06-29,12:56,normal_sale,active,Farida Shaikh,Lifebuoy Soap 125g,1,piece,35.94,35.94,7.94,18,0,323.64,323.64,0,93.14,upi:323.64
KOS-2026-005789,2026-06-29,12:56,normal_sale,active,Farida Shaikh,KitKat 4-finger,1,piece,21.23,21.23,4.23,18,0,323.64,323.64,0,93.14,upi:323.64
KOS-2026-005789,2026-06-29,12:56,normal_sale,active,Farida Shaikh,Besan (loose),0.25,kg,105.06,26.27,6.77,5,0,323.64,323.64,0,93.14,upi:323.64
KOS-2026-005790,2026-06-29,12:56,normal_sale,active,Walk-in,Bournvita 500g,1,piece,275.51,275.51,43.51,18,0,1183.98,1183.98,0,222.38,cash:465|upi:718.98
KOS-2026-005790,2026-06-29,12:56,normal_sale,active,Walk-in,Coca-Cola 750ml,2,piece,42.7,85.4,21.4,28,0,1183.98,1183.98,0,222.38,cash:465|upi:718.98
KOS-2026-005790,2026-06-29,12:56,normal_sale,active,Walk-in,Aashirvaad Atta 5kg,2,piece,303.09,606.18,116.18,5,0,1183.98,1183.98,0,222.38,cash:465|upi:718.98
KOS-2026-005790,2026-06-29,12:56,normal_sale,active,Walk-in,Maggi Noodles 8-pack,1,piece,112.52,112.52,20.52,12,0,1183.98,1183.98,0,222.38,cash:465|upi:718.98
KOS-2026-005790,2026-06-29,12:56,normal_sale,active,Walk-in,Close Up Red 150g,1,piece,95.79,95.79,17.79,18,0,1183.98,1183.98,0,222.38,cash:465|upi:718.98
KOS-2026-005790,2026-06-29,12:56,normal_sale,active,Walk-in,Potato,0.25,kg,26,6.5,2,0,0,1183.98,1183.98,0,222.38,cash:465|upi:718.98
KOS-2026-005790,2026-06-29,12:56,normal_sale,active,Walk-in,Match Box,1,piece,2.08,2.08,0.98,18,0,1183.98,1183.98,0,222.38,cash:465|upi:718.98
KOS-2026-005788,2026-06-29,12:18,normal_sale,active,Manisha Deshmukh,Bisleri Water 1L,1,piece,20,20,7,18,0,132.52,132.52,0,27.52,upi:132.52
KOS-2026-005788,2026-06-29,12:18,normal_sale,active,Manisha Deshmukh,Maggi Noodles 8-pack,1,piece,112.52,112.52,20.52,12,0,132.52,132.52,0,27.52,upi:132.52
KOS-2026-005787,2026-06-29,12:09,normal_sale,active,Walk-in,Sunfeast Dark Fantasy 75g,2,piece,41.68,83.36,15.36,18,0,212.24,212.24,0,41.24,upi:212.24
KOS-2026-005787,2026-06-29,12:09,normal_sale,active,Walk-in,Britannia Marie Gold 250g,2,piece,41.48,82.96,16.96,18,0,212.24,212.24,0,41.24,upi:212.24
KOS-2026-005787,2026-06-29,12:09,normal_sale,active,Walk-in,Oreo Biscuit 120g,1,piece,35,35,5,18,0,212.24,212.24,0,41.24,upi:212.24
KOS-2026-005787,2026-06-29,12:09,normal_sale,active,Walk-in,Reynolds Pen,1,piece,10.92,10.92,3.92,12,0,212.24,212.24,0,41.24,upi:212.24
KOS-2026-005786,2026-06-29,11:22,normal_sale,active,Prakash Sharma,Lux Soap 100g,1,piece,40.33,40.33,10.33,18,0,40.33,40.33,0,10.33,upi:40.33
KOS-2026-005785,2026-06-29,10:28,normal_sale,active,Walk-in,Dettol Antiseptic 250ml,1,piece,160.07,160.07,28.07,18,0,467.25,467.25,0,77.85,upi:467.25
KOS-2026-005785,2026-06-29,10:28,normal_sale,active,Walk-in,Sunfeast Dark Fantasy 75g,3,piece,41.68,125.04,23.04,18,0,467.25,467.25,0,77.85,upi:467.25
KOS-2026-005785,2026-06-29,10:28,normal_sale,active,Walk-in,Parle-G Biscuit 100g,3,piece,10.55,31.65,6.75,18,0,467.25,467.25,0,77.85,upi:467.25
KOS-2026-005785,2026-06-29,10:28,normal_sale,active,Walk-in,Amul Cheese Slices 200g,1,piece,140,140,18,12,0,467.25,467.25,0,77.85,upi:467.25
KOS-2026-005785,2026-06-29,10:28,normal_sale,active,Walk-in,Frooti 200ml,1,piece,10.49,10.49,1.99,12,0,467.25,467.25,0,77.85,upi:467.25
KOS-2026-005784,2026-06-29,09:24,normal_sale,active,Pooja Bhosale,Rava / Sooji (loose),0.5,kg,48.98,24.49,6.49,5,14.49,10,10,0,-8,cash:10
KOS-2026-005783,2026-06-29,08:49,normal_sale,active,Walk-in,Amul Masti Dahi 400g,1,piece,40,40,8,5,0,50.49,50.49,0,9.99,upi:50.49
KOS-2026-005783,2026-06-29,08:49,normal_sale,active,Walk-in,Frooti 200ml,1,piece,10.49,10.49,1.99,12,0,50.49,50.49,0,9.99,upi:50.49
KOS-2026-005782,2026-06-29,08:37,normal_sale,active,Jyoti Patil,Wheat Atta (loose),0.25,kg,42,10.5,2.5,0,0,31.48,31.48,0,6.48,bank:31.48
KOS-2026-005782,2026-06-29,08:37,normal_sale,active,Jyoti Patil,Frooti 200ml,2,piece,10.49,20.98,3.98,12,0,31.48,31.48,0,6.48,bank:31.48
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Classmate Notebook 172pg,1,piece,57.68,57.68,15.68,12,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Vim Liquid 500ml,3,piece,122.49,367.47,73.47,18,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Tata Salt 1kg,2,piece,33.4,66.8,18.8,0,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Red Label Tea 250g,2,piece,157.13,314.26,58.26,5,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Coca-Cola 750ml,2,piece,42.7,85.4,21.4,28,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Maggi Noodles 70g,2,piece,14.55,29.1,6.1,12,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Lifebuoy Soap 125g,1,piece,35.94,35.94,7.94,18,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Sunfeast Dark Fantasy 75g,2,piece,41.68,83.36,15.36,18,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Sona Masoori Rice (loose),0.25,kg,58,14.5,3,0,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005781,2026-06-29,08:33,normal_sale,active,Walk-in,Agarbatti Pack (20 sticks),2,piece,31.3,62.6,14.6,12,0,1117.11,1117,0,234.5,cash:1117
KOS-2026-005780,2026-06-29,08:29,normal_sale,active,Walk-in,Onion,0.25,kg,36.44,9.11,3.11,0,0,212.68,212.68,0,41.68,upi:212.68
KOS-2026-005780,2026-06-29,08:29,normal_sale,active,Walk-in,Saffola Gold Oil 1L,1,piece,203.57,203.57,38.57,5,0,212.68,212.68,0,41.68,upi:212.68
KOS-2026-005779,2026-06-29,08:26,normal_sale,active,Suresh Kulkarni,Lux Soap 100g,1,piece,40.33,40.33,10.33,18,0,354.42,354.42,0,74.42,cash:212|upi:142.42
KOS-2026-005779,2026-06-29,08:26,normal_sale,active,Suresh Kulkarni,Potato,1,kg,26,26,8,0,0,354.42,354.42,0,74.42,cash:212|upi:142.42
KOS-2026-005779,2026-06-29,08:26,normal_sale,active,Suresh Kulkarni,Maggi Noodles 8-pack,2,piece,112.52,225.04,41.04,12,0,354.42,354.42,0,74.42,cash:212|upi:142.42
KOS-2026-005779,2026-06-29,08:26,normal_sale,active,Suresh Kulkarni,Catch Red Chilli Powder 100g,1,piece,63.05,63.05,15.05,5,0,354.42,354.42,0,74.42,cash:212|upi:142.42
KOS-2026-005778,2026-06-28,21:47,normal_sale,active,Walk-in,Tomato,0.5,kg,41.9,20.95,7.95,0,0,172.57,172.57,0,47.07,upi:172.57
KOS-2026-005778,2026-06-28,21:47,normal_sale,active,Walk-in,Bingo Mad Angles 66g,1,piece,21.01,21.01,4.51,12,0,172.57,172.57,0,47.07,upi:172.57
KOS-2026-005778,2026-06-28,21:47,normal_sale,active,Walk-in,Moong Dal (loose),1,kg,130.61,130.61,34.61,0,0,172.57,172.57,0,47.07,upi:172.57
KOS-2026-005777,2026-06-28,21:08,normal_sale,active,Walk-in,Agarbatti Pack (20 sticks),2,piece,31.3,62.6,14.6,12,0,76.6,76.6,0,17.6,upi:76.6
KOS-2026-005777,2026-06-28,21:08,normal_sale,active,Walk-in,Yippee Noodles 70g,1,piece,14,14,3,12,0,76.6,76.6,0,17.6,upi:76.6
KOS-2026-005776,2026-06-28,20:46,normal_sale,active,Annapurna Mess & Canteen,Urad Dal (loose),0.5,kg,140.67,70.33,17.83,0,0,70.33,70,0,17.5,cash:70
KOS-2026-005775,2026-06-28,20:34,normal_sale,active,Walk-in,Candle Pack (6 pc),2,piece,42,84,20,12,0,922.04,922.04,0,176.04,cash:922.04
KOS-2026-005775,2026-06-28,20:34,normal_sale,active,Walk-in,Coca-Cola 750ml,1,piece,42.7,42.7,10.7,28,0,922.04,922.04,0,176.04,cash:922.04
KOS-2026-005775,2026-06-28,20:34,normal_sale,active,Walk-in,Fortune Sunflower Oil 1L,1,piece,168.48,168.48,30.48,5,0,922.04,922.04,0,176.04,cash:922.04
KOS-2026-005775,2026-06-28,20:34,normal_sale,active,Walk-in,Sprite 750ml,1,piece,40,40,8,28,0,922.04,922.04,0,176.04,cash:922.04
KOS-2026-005775,2026-06-28,20:34,normal_sale,active,Walk-in,Dettol Antiseptic 250ml,2,piece,160.07,320.14,56.14,18,0,922.04,922.04,0,176.04,cash:922.04
KOS-2026-005775,2026-06-28,20:34,normal_sale,active,Walk-in,Dairy Milk 50g,3,piece,40,120,18,18,0,922.04,922.04,0,176.04,cash:922.04
KOS-2026-005775,2026-06-28,20:34,normal_sale,active,Walk-in,Basmati Rice Premium (loose),0.5,kg,126.71,63.36,17.36,0,0,922.04,922.04,0,176.04,cash:922.04
KOS-2026-005775,2026-06-28,20:34,normal_sale,active,Walk-in,Sunfeast Dark Fantasy 75g,2,piece,41.68,83.36,15.36,18,0,922.04,922.04,0,176.04,cash:922.04
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Coca-Cola 750ml,2,piece,42.7,85.4,21.4,28,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Amul Masti Dahi 400g,1,piece,40,40,8,5,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Tomato,0.25,kg,41.9,10.48,3.98,0,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Sprite 750ml,1,piece,40,40,8,28,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Aashirvaad Atta 5kg,1,piece,303.09,303.09,58.09,5,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Onion,0.25,kg,36.44,9.11,3.11,0,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Parle-G Biscuit 100g,1,piece,10.55,10.55,2.25,18,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Lux Soap 100g,1,piece,40.33,40.33,10.33,18,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Basmati Rice Premium (loose),1,kg,126.71,126.71,34.71,0,0,678.15,678,0,151.95,cash:678
KOS-2026-005774,2026-06-28,20:23,normal_sale,active,Walk-in,Sugar (loose),0.25,kg,49.91,12.48,2.23,5,0,678.15,678,0,151.95,cash:678
KOS-2026-005773,2026-06-28,20:18,normal_sale,active,Nilesh Joshi,Chana Dal (loose),0.5,kg,95.24,47.62,10.62,0,0,293.91,0,293.91,71.91,
KOS-2026-005773,2026-06-28,20:18,normal_sale,active,Nilesh Joshi,Britannia Brown Bread,1,piece,52.9,52.9,10.9,0,0,293.91,0,293.91,71.91,
KOS-2026-005773,2026-06-28,20:18,normal_sale,active,Nilesh Joshi,Toor Dal (loose),1,kg,161.66,161.66,43.66,0,0,293.91,0,293.91,71.91,
KOS-2026-005773,2026-06-28,20:18,normal_sale,active,Nilesh Joshi,Britannia Good Day 100g,1,piece,31.73,31.73,6.73,18,0,293.91,0,293.91,71.91,
KOS-2026-005772,2026-06-28,20:14,normal_sale,active,Ashwini Pawar,Red Label Tea 250g,1,piece,157.13,157.13,29.13,5,20.23,177.23,177,0,19,cash:177
KOS-2026-005772,2026-06-28,20:14,normal_sale,active,Ashwini Pawar,Lux Soap 100g,1,piece,40.33,40.33,10.33,18,20.23,177.23,177,0,19,cash:177
KOS-2026-005771,2026-06-28,19:34,normal_sale,active,Imran Jadhav,Coca-Cola 750ml,1,piece,42.7,42.7,10.7,28,0,105.99,105.99,0,24.19,cash:105.99
KOS-2026-005771,2026-06-28,19:34,normal_sale,active,Imran Jadhav,Britannia Good Day 100g,1,piece,31.73,31.73,6.73,18,0,105.99,105.99,0,24.19,cash:105.99
KOS-2026-005771,2026-06-28,19:34,normal_sale,active,Imran Jadhav,Bingo Mad Angles 66g,1,piece,21.01,21.01,4.51,12,0,105.99,105.99,0,24.19,cash:105.99
KOS-2026-005771,2026-06-28,19:34,normal_sale,active,Imran Jadhav,Parle-G Biscuit 100g,1,piece,10.55,10.55,2.25,18,0,105.99,105.99,0,24.19,cash:105.99
KOS-2026-005770,2026-06-28,19:19,normal_sale,active,Walk-in,Colgate Strong Teeth 200g,1,piece,113.64,113.64,21.64,18,0,416.25,416.25,0,87.25,upi:416.25
KOS-2026-005770,2026-06-28,19:19,normal_sale,active,Walk-in,Harpic Toilet Cleaner 500ml,1,piece,105,105,17,18,0,416.25,416.25,0,87.25,upi:416.25
KOS-2026-005770,2026-06-28,19:19,normal_sale,active,Walk-in,Tata Salt 1kg,1,piece,33.4,33.4,9.4,0,0,416.25,416.25,0,87.25,upi:416.25
KOS-2026-005770,2026-06-28,19:19,normal_sale,active,Walk-in,Tomato,0.5,kg,41.9,20.95,7.95,0,0,416.25,416.25,0,87.25,upi:416.25
KOS-2026-005770,2026-06-28,19:19,normal_sale,active,Walk-in,Everest Turmeric 200g,1,piece,79.8,79.8,17.8,5,0,416.25,416.25,0,87.25,upi:416.25
KOS-2026-005770,2026-06-28,19:19,normal_sale,active,Walk-in,Britannia Good Day 100g,2,piece,31.73,63.46,13.46,18,0,416.25,416.25,0,87.25,upi:416.25
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Ariel Detergent 1kg,1,piece,163.43,163.43,31.43,18,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Chana Dal (loose),0.25,kg,95.24,23.81,5.31,0,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Classmate Notebook 172pg,3,piece,57.68,173.04,47.04,12,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Frooti 200ml,1,piece,10.49,10.49,1.99,12,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Mustard Oil (loose),1,l,167.39,167.39,39.39,5,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Potato,0.5,kg,26,13,4,0,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Lays Classic Salted 52g,2,piece,22.47,44.94,11.94,12,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Amul Gold Milk 500ml,2,piece,34.79,69.58,9.58,0,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Parachute Coconut Oil 200ml,1,piece,104.47,104.47,22.47,18,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Everest Turmeric 200g,2,piece,79.8,159.6,35.6,5,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Maggi Noodles 70g,1,piece,14.55,14.55,3.05,12,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005769,2026-06-28,19:09,normal_sale,active,Nitin Shaikh,Colgate Strong Teeth 200g,1,piece,113.64,113.64,21.64,18,0,1057.94,1057,0,232.5,cash:1057
KOS-2026-005768,2026-06-28,19:02,normal_sale,active,Walk-in,Bisleri Water 1L,1,piece,20,20,7,18,0,604.43,604,0,120,cash:604
KOS-2026-005768,2026-06-28,19:02,normal_sale,active,Walk-in,Amul Masti Dahi 400g,1,piece,40,40,8,5,0,604.43,604,0,120,cash:604
